number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout,params_focal_gamma,params_l2_reg,params_learning_rate,params_model_type,params_sequence_length,params_units,params_use_dense,state
0,0.16501436781609194,2026-05-10 19:54:05.285843,2026-05-10 19:54:19.581728,0 days 00:00:14.295885,,0.5,2.0,0.009629010570499379,0.0004068761202504184,LSTM,90,64,False,COMPLETE
1,0.34177666532690526,2026-05-10 19:54:19.582764,2026-05-10 19:54:32.020562,0 days 00:00:12.437798,64.0,0.2,2.0,0.003949482584266744,0.00035734134013513675,LSTM,30,128,True,COMPLETE
2,0.13111354709052708,2026-05-10 19:54:32.021569,2026-05-10 19:54:51.932627,0 days 00:00:19.911058,32.0,0.1,2.0,0.0024459267439743927,0.004696949901349318,GRU,60,128,True,COMPLETE
3,0.26693344004268377,2026-05-10 19:54:51.932627,2026-05-10 19:55:01.611826,0 days 00:00:09.679199,,0.5,1.0,0.00036986242042295143,0.002422596773269592,BiLSTM,30,64,False,COMPLETE
4,0.32243282243282245,2026-05-10 19:55:01.612334,2026-05-10 19:55:11.425157,0 days 00:00:09.812823,16.0,0.4,1.0,0.00011957895700764266,0.0002508669783190709,LSTM,45,64,True,COMPLETE
5,0.12691588785046726,2026-05-10 19:55:11.425157,2026-05-10 19:55:20.553391,0 days 00:00:09.128234,,0.5,3.0,0.0003595145251051681,0.0001703955618194958,BiLSTM,45,64,False,COMPLETE
6,0.17746435806291325,2026-05-10 19:55:20.553391,2026-05-10 19:55:29.735048,0 days 00:00:09.181657,,0.2,3.0,0.0022979294243994537,0.003003824318226566,BiLSTM,90,32,False,COMPLETE
7,0.2450727335836673,2026-05-10 19:55:29.736058,2026-05-10 19:55:37.780597,0 days 00:00:08.044539,,0.2,2.0,2.432041776489174e-05,0.00011671415574797885,GRU,45,64,False,COMPLETE
8,0.13377879307062632,2026-05-10 19:55:37.781110,2026-05-10 19:55:44.367128,0 days 00:00:06.586018,,0.4,3.0,0.0001194265080193955,0.0011038483268077063,LSTM,30,32,False,COMPLETE
9,0.2512004519348461,2026-05-10 19:55:44.367128,2026-05-10 19:56:05.478959,0 days 00:00:21.111831,,0.5,3.0,1.588772388128382e-05,0.0001361015965288294,LSTM,90,128,False,COMPLETE
10,0.1404823428079242,2026-05-10 19:56:05.478959,2026-05-10 19:56:23.655960,0 days 00:00:18.177001,64.0,0.1,2.0,0.009417698136655345,0.000765449307633773,LSTM,30,128,True,COMPLETE
11,0.28268022286290817,2026-05-10 19:56:23.655960,2026-05-10 19:56:35.947695,0 days 00:00:12.291735,16.0,0.30000000000000004,1.0,8.531994100966106e-05,0.0003372540757123341,LSTM,45,128,True,COMPLETE
12,0.14470899470899468,2026-05-10 19:56:35.947695,2026-05-10 19:56:49.236855,0 days 00:00:13.289160,64.0,0.30000000000000004,1.0,0.0010454732788366277,0.0003520470497185865,LSTM,60,128,True,COMPLETE
13,0.2777326431738196,2026-05-10 19:56:49.236855,2026-05-10 19:56:57.856348,0 days 00:00:08.619493,16.0,0.4,1.0,7.423444931246281e-05,0.0008310051287304305,LSTM,30,64,True,COMPLETE
14,0.29012256846429646,2026-05-10 19:56:57.856348,2026-05-10 19:57:04.701329,0 days 00:00:06.844981,16.0,0.2,2.0,0.0010637594783524337,0.00022235721097892187,LSTM,45,32,True,COMPLETE
15,0.1242218381900165,2026-05-10 19:57:04.701329,2026-05-10 19:57:11.617990,0 days 00:00:06.916661,64.0,0.4,1.0,0.0001671502283318589,0.0004936121541057315,GRU,30,64,True,COMPLETE
16,0.12077294685990336,2026-05-10 19:57:11.617990,2026-05-10 19:57:25.201138,0 days 00:00:13.583148,32.0,0.30000000000000004,2.0,3.6998559300420424e-05,0.0013664003950800527,LSTM,45,128,True,COMPLETE
17,0.3675268452974378,2026-05-10 19:57:25.201138,2026-05-10 19:57:36.896594,0 days 00:00:11.695456,64.0,0.2,1.0,1.00107948710352e-05,0.00023087137176320727,LSTM,60,128,True,COMPLETE
18,0.16242597292724195,2026-05-10 19:57:36.896594,2026-05-10 19:57:49.022551,0 days 00:00:12.125957,64.0,0.2,1.0,1.305828553179798e-05,0.00010030365578824161,GRU,60,128,True,COMPLETE
19,0.41765395894428153,2026-05-10 19:57:49.022551,2026-05-10 19:58:05.736883,0 days 00:00:16.714332,64.0,0.1,2.0,0.0028133951688644344,0.00805009857771337,BiLSTM,60,128,True,COMPLETE
