feature,importance
silver_historical_data_Close,18
sp500_PE_Ratio_YOY,16
sp-500-pe-ratio-price-to-earnings-chart_ value,13
hv_30,12
^VIX_historical_data_Close,11
BAA10Y_BAA10Y,8
DI_Plus,8
XLE_historical_data_Close,8
MACD,7
RSI,7
std_21,7
adp_payroll_2000_aujourdhui_PAYEMS,6
Stoch_D,6
Market_yield_US_10_year_DGS10,6
XLF_historical_data_Close,5
DI_Minus,5
CL=F_historical_data_Close,5
r_sp_bond,5
MACD_Hist,4
SP500_historical_data_Close,4
sp500_PE_Ratio_Value,4
SP500_historical_data_Volume,4
r_sp_gold,3
MACD_Signal,3
ADX,2
Stoch_K,2
gold_historical_data_Close,1
transactions_summary_daily_Nombre_Ventes,0
transactions_summary_daily_Nombre_Achats,0
transactions_summary_daily_Somme_Achats,0
