horizon,threshold,n_samples,n_classes,pct_class0,pct_class1,pct_class2,balance_score,autocorr_lag1,persistence_score,mean_kl,max_kl
3,0.005,4199,3,0.2984,0.277,0.4246,0.2492,0.541,0.241,0.0095,0.022
3,0.008,4199,3,0.2405,0.4282,0.3313,0.1189,0.5399,0.2399,0.0143,0.0373
3,0.01,4199,3,0.2151,0.5099,0.2751,0.2198,0.5331,0.2331,0.0146,0.0365
3,0.012,4199,3,0.1889,0.582,0.2291,0.3641,0.5201,0.2201,0.0146,0.0343
3,0.015,4199,3,0.1553,0.6752,0.1696,0.5503,0.5056,0.2056,0.0182,0.0439
3,0.018,4199,3,0.1284,0.7428,0.1288,0.6856,0.4694,0.1694,0.0185,0.0438
3,0.02,4199,3,0.1095,0.7821,0.1084,0.7642,0.4601,0.1601,0.019,0.0426
3,0.025,4199,3,0.0803,0.8476,0.0722,0.8952,0.4435,0.1435,0.0164,0.0349
5,0.005,4197,3,0.3036,0.2292,0.4672,0.3416,0.6683,0.3683,0.0093,0.0197
5,0.008,4197,3,0.2616,0.3462,0.3922,0.1844,0.6645,0.3645,0.012,0.0284
5,0.01,4197,3,0.2373,0.4127,0.35,0.1254,0.6592,0.3592,0.0134,0.0319
5,0.012,4197,3,0.2142,0.4787,0.3071,0.1716,0.6552,0.3552,0.0143,0.0333
5,0.015,4197,3,0.1837,0.5733,0.243,0.3465,0.6436,0.3436,0.0185,0.0464
5,0.018,4197,3,0.1606,0.6514,0.188,0.5028,0.6301,0.3301,0.0185,0.0464
5,0.02,4197,3,0.1446,0.6953,0.1601,0.5905,0.6111,0.3111,0.0162,0.0399
5,0.025,4197,3,0.1129,0.7751,0.112,0.7502,0.5763,0.2763,0.0157,0.0364
7,0.005,4195,3,0.3142,0.1895,0.4963,0.421,0.7152,0.4152,0.0065,0.0142
7,0.008,4195,3,0.2675,0.2977,0.4348,0.2696,0.7175,0.4175,0.0097,0.0249
7,0.01,4195,3,0.2431,0.3666,0.3902,0.1805,0.7194,0.4194,0.0117,0.0296
7,0.012,4195,3,0.226,0.4262,0.3478,0.148,0.7164,0.4164,0.0114,0.0258
7,0.015,4195,3,0.1995,0.5087,0.2918,0.2174,0.7023,0.4023,0.0123,0.0252
7,0.018,4195,3,0.1769,0.5781,0.2451,0.3561,0.7035,0.4035,0.0134,0.0271
7,0.02,4195,3,0.1633,0.625,0.2117,0.4501,0.6968,0.3968,0.0164,0.036
7,0.025,4195,3,0.1294,0.7154,0.1552,0.6308,0.6718,0.3718,0.0179,0.0381
10,0.005,4192,3,0.3115,0.1508,0.5377,0.4985,0.7713,0.4713,0.0075,0.0157
10,0.008,4192,3,0.2772,0.2409,0.4819,0.3637,0.7827,0.4827,0.0117,0.0257
10,0.01,4192,3,0.2569,0.3022,0.4408,0.2817,0.7795,0.4795,0.0109,0.0239
10,0.012,4192,3,0.2381,0.3595,0.4024,0.2049,0.7731,0.4731,0.0129,0.0264
10,0.015,4192,3,0.2111,0.4406,0.3483,0.1778,0.7595,0.4595,0.0152,0.0307
10,0.018,4192,3,0.1923,0.5045,0.3032,0.2155,0.7512,0.4512,0.0155,0.0302
10,0.02,4192,3,0.1753,0.5542,0.2705,0.3083,0.7362,0.4362,0.017,0.0318
10,0.025,4192,3,0.1455,0.6508,0.2037,0.5015,0.7138,0.4138,0.0199,0.0368
14,0.005,4188,3,0.3111,0.1134,0.5755,0.5732,0.803,0.503,0.0081,0.011
14,0.008,4188,3,0.283,0.1927,0.5244,0.4487,0.8229,0.5229,0.0133,0.0234
14,0.01,4188,3,0.2655,0.2373,0.4971,0.3943,0.8247,0.5247,0.0167,0.0333
14,0.012,4188,3,0.2486,0.2822,0.4692,0.3384,0.8235,0.5235,0.0192,0.0411
14,0.015,4188,3,0.2242,0.3548,0.421,0.2419,0.8175,0.5175,0.0227,0.0478
14,0.018,4188,3,0.2077,0.4145,0.3777,0.1845,0.811,0.511,0.0229,0.0506
14,0.02,4188,3,0.1951,0.4585,0.3465,0.2098,0.7985,0.4985,0.0244,0.0539
14,0.025,4188,3,0.1691,0.563,0.2679,0.3261,0.7697,0.4697,0.0251,0.0554
