feature,importance
sp500_PE_Ratio_YOY,82
BAA10Y_BAA10Y,65
silver_historical_data_Close,61
sp500_PE_Ratio_Value,57
Market_yield_US_10_year_DGS10,51
hv_30,51
std_21,49
XLF_historical_data_Close,49
RSI,49
XLE_historical_data_Close,46
adp_payroll_2000_aujourdhui_PAYEMS,44
CL=F_historical_data_Close,42
MACD,42
DI_Minus,41
^VIX_historical_data_Close,40
DI_Plus,39
sp-500-pe-ratio-price-to-earnings-chart_ value,35
MACD_Signal,34
OBV,33
MACD_Hist,29
r_sp_gold,24
Stoch_K,23
SP500_historical_data_Volume,23
ADX,23
SP500_historical_data_Close,23
Stoch_D,21
r_sp_bond,20
transactions_summary_daily_Nombre_Ventes,20
transactions_summary_daily_Somme_Achats,18
transactions_summary_daily_Nombre_Achats,9
