feature,importance
^VIX_historical_data_Close,5.852061748504639
adp_payroll_2000_aujourdhui_PAYEMS,5.537861347198486
sp-500-pe-ratio-price-to-earnings-chart_ value,5.409417152404785
XLF_historical_data_Close,5.004777908325195
sp500_PE_Ratio_Value,4.762268543243408
sp500_PE_Ratio_YOY,4.6537675857543945
SP500_historical_data_Close,4.4891486167907715
silver_historical_data_Close,4.386085510253906
RSI,4.318882465362549
hv_30,4.219814777374268
std_21,4.105395317077637
Market_yield_US_10_year_DGS10,4.098756313323975
r_sp_bond,4.039575099945068
CL=F_historical_data_Close,3.9057674407958984
BAA10Y_BAA10Y,3.8972787857055664
MACD,3.8504371643066406
DI_Plus,3.8189966678619385
DI_Minus,3.774245023727417
OBV,3.714406728744507
r_sp_gold,3.702998638153076
XLE_historical_data_Close,3.60709547996521
transactions_summary_daily_Nombre_Ventes,3.5905940532684326
ADX,3.3067312240600586
MACD_Signal,3.2496237754821777
MACD_Hist,3.148409366607666
Stoch_D,3.1142611503601074
Stoch_K,2.769972801208496
transactions_summary_daily_Somme_Achats,2.5767054557800293
SP500_historical_data_Volume,2.456665515899658
transactions_summary_daily_Nombre_Achats,2.1953072547912598
