w0,w1,w2,lgb_bal_acc,lgb_f1_macro,lgb_recall_0,lgb_recall_1,lgb_recall_2,lgb_sharpe,lgb_return_pct,xgb_bal_acc,xgb_f1_macro,xgb_recall_0,xgb_recall_1,xgb_recall_2
0.8,0.6,0.8,0.3359,0.1471,0.9688,0.0083,0.0308,-1.618,-62.73,0.3693,0.298,0.7266,0.2686,0.1128
0.8,0.6,1.0,0.3598,0.2258,0.8281,0.0,0.2513,0.406,17.31,0.3727,0.2247,0.9531,0.1033,0.0615
0.8,0.6,1.2,0.3591,0.2004,0.9297,0.0041,0.1436,-0.433,-27.16,0.3502,0.1994,0.9219,0.062,0.0667
0.8,0.6,1.5,0.3743,0.253,0.8047,0.0207,0.2974,0.206,4.71,0.3792,0.2473,0.9297,0.095,0.1128
0.8,0.8,0.8,0.3393,0.1701,0.9375,0.0702,0.0103,-1.552,-60.95,0.3821,0.2871,0.8203,0.2438,0.0821
0.8,0.8,1.0,0.3922,0.3326,0.6484,0.1488,0.3795,1.346,96.53,0.3864,0.2981,0.8203,0.2107,0.1282
0.8,0.8,1.2,0.3772,0.2899,0.3438,0.0289,0.759,2.26,230.91,0.368,0.2383,0.8984,0.062,0.1436
0.8,0.8,1.5,0.3514,0.279,0.3984,0.0455,0.6103,0.963,60.07,0.3461,0.1915,0.9219,0.0702,0.0462
0.8,0.9,0.8,0.3902,0.3043,0.7734,0.3306,0.0667,-0.996,-45.25,0.3857,0.2574,0.9219,0.1736,0.0615
0.8,0.9,1.0,0.3665,0.2926,0.7422,0.1983,0.159,-0.538,-30.59,0.3862,0.273,0.8906,0.1653,0.1026
0.8,0.9,1.2,0.3665,0.3076,0.2812,0.095,0.7231,1.663,132.96,0.3809,0.249,0.9219,0.1694,0.0513
0.8,0.9,1.5,0.341,0.202,0.0156,0.0331,0.9744,1.702,142.96,0.3642,0.214,0.9453,0.0702,0.0769
0.8,1.0,0.8,0.3857,0.2699,0.8359,0.3058,0.0154,-1.118,-48.8,0.3803,0.2733,0.8594,0.1942,0.0872
0.8,1.0,1.0,0.3706,0.3173,0.6562,0.3223,0.1333,-0.893,-41.76,0.3692,0.2296,0.9219,0.1446,0.041
0.8,1.0,1.2,0.389,0.3528,0.2969,0.1777,0.6923,2.607,276.34,0.3849,0.2745,0.8828,0.1488,0.1231
0.8,1.0,1.5,0.3444,0.2794,0.1875,0.0868,0.759,0.581,28.77,0.3608,0.2002,0.9531,0.0165,0.1128
1.0,0.6,0.8,0.3362,0.1443,0.9766,0.0165,0.0154,-1.495,-59.97,0.3573,0.233,0.8594,0.1818,0.0308
1.0,0.6,1.0,0.3398,0.1741,0.9219,0.0,0.0974,-1.145,-51.39,0.3606,0.2602,0.8203,0.1281,0.1333
1.0,0.6,1.2,0.3486,0.1626,0.9844,0.0,0.0615,-1.065,-49.15,0.3727,0.2356,0.9297,0.1116,0.0769
