feature,importance
interest_rates_rate,0.051428236
Mortgage_debt_percent_of_disposable_personal_income_MDSP,0.029197065
Fib_Level_61,0.024469143
Ichimoku_Kijun,0.021223431
^VIX_historical_data_Close,0.02022567
BB_Low,0.01955743
SMA_150,0.019203292
AD,0.01880447
FEDFUNDS_FEDFUNDS,0.018643755
Fib_Level_23,0.017726472
sp-500-pe-ratio-price-to-earnings-chart_ value,0.017130967
r_sp_dxy,0.015877796
XLK_historical_data_Close,0.015634162
unemployment_rate_U2RATE,0.015491954
BB_Mid,0.014874442
GDP_GDP,0.014667965
global_economic_policy_uncertainty_GEPUCURRENT,0.014424621
Fib_Level_100,0.0142469965
OBV,0.014190276
fed_funds_rate_FEDFUNDS,0.014006577
Fib_Level_0,0.013897327
Fib_Level_50,0.01381318
personal_savings_rate_PSAVERT,0.013683697
EMA_12,0.013595282
XLF_historical_data_Close,0.0134001775
average_sales_price_of_houses_sold_us_ASPUS,0.013299573
dollar_index_historical_data_Close,0.013116128
Inflation_us_FPCPITOTLZGUSA,0.013041816
gold_historical_data_Close,0.012570643
EMA_26,0.012532686
M2SL_M2SL,0.012346066
sp500_PE_Ratio_YOY,0.012298509
adp_payroll_2000_aujourdhui_PAYEMS,0.0122596985
Ichimoku_B,0.0120960055
PPI_ProducerPriceIndexes,0.011803632
RSI,0.011801515
XLV_historical_data_Close,0.01179187
CPI_price_index_CPI,0.011748796
Market_yield_US_10_year_DGS10,0.011548487
SMA_200,0.011454846
profit_per_unit_of_real_gross_value_A466RD3Q052SBEA,0.011339104
DGS2_DGS2,0.011265347
sp500_PE_Ratio_Value,0.011227571
r_sp_bond,0.011192156
std_21,0.011145071
SP500_historical_data_Low,0.010945954
silver_historical_data_Close,0.010935747
XLI_historical_data_Close,0.01084768
hv_30,0.010554397
XLE_historical_data_Close,0.010542301
VWAP,0.010456842
average_hourly_earnings_all_employees_CES0500000003,0.0102718305
Ichimoku_Tenkan,0.010251026
BB_High,0.010224298
XHB_homebuilder_historical_data_Close,0.01018595
Ichimoku_A,0.010147971
SMA_100,0.009719199
DI_Plus,0.009650097
us_federal_debt_GFDEBTN,0.009613472
Stoch_K,0.009495997
ADX,0.009289337
PSAR,0.009168366
ATR,0.009149222
BAA10Y_BAA10Y,0.008772132
Fib_Level_38,0.008697892
MACD_Hist,0.0086523555
r_sp_gold,0.008601184
MACD,0.008558502
CL=F_historical_data_Close,0.008068012
MACD_Signal,0.007987255
DI_Minus,0.0075567076
SP500_historical_data_High,0.0071283565
SP500_historical_data_Volume,0.0066690766
transactions_summary_daily_Somme_Ventes,0.0060539604
transactions_summary_daily_Somme_Achats,0.00605283
Stoch_D,0.005974101
SP500_historical_data_Close,0.005922603
transactions_summary_daily_Nombre_Achats,0.0052124197
SP500_historical_data_Open,0.004791306
transactions_summary_daily_Nombre_Ventes,0.004557656
