feature,importance
^VIX_historical_data_Close,23
RSI,15
Stoch_K,11
std_21_lag5,9
sp500_PE_Ratio_YOY,6
CL=F_historical_data_Close_lag1,6
ADX_lag5,6
XLE_historical_data_Close,6
transactions_summary_daily_Nombre_Ventes_lag1,6
^VIX_historical_data_Close_lag1,6
Stoch_D_lag1,5
FEDFUNDS_FEDFUNDS_lag1,5
DI_Plus,4
DI_Minus,4
XLF_historical_data_Close,4
MACD_Hist_lag21,4
std_21_lag21,4
hv_30_lag5,4
dollar_index_historical_data_Close_lag5,4
Stoch_K_lag1,3
CL=F_historical_data_Close_lag21,3
dollar_index_historical_data_Close_lag1,3
FEDFUNDS_FEDFUNDS_lag5,3
MACD_lag21,3
MACD_lag5,3
SP500_historical_data_Volume_lag21,3
DI_Minus_lag21,3
MACD_Hist_lag1,2
sp500_PE_Ratio_YOY_lag21,2
MACD_Hist,2
std_21,2
global_economic_policy_uncertainty_GEPUCURRENT,2
ADX_lag1,2
Stoch_K_lag21,2
sp500_PE_Ratio_Value_lag5,2
Stoch_D,2
sp-500-pe-ratio-price-to-earnings-chart_ value_lag21,2
BAA10Y_BAA10Y_lag21,2
XLE_historical_data_Close_lag1,2
global_economic_policy_uncertainty_GEPUCURRENT_lag21,1
sp-500-pe-ratio-price-to-earnings-chart_ value,1
XLF_historical_data_Close_lag21,1
XLF_historical_data_Close_lag5,1
^VIX_historical_data_Close_lag21,1
DGS2_DGS2_lag5,1
DGS2_DGS2_lag21,1
sp-500-pe-ratio-price-to-earnings-chart_ value_lag1,1
hv_30,1
RSI_lag1,1
transactions_summary_daily_Nombre_Achats_lag1,1
dollar_index_historical_data_Close_lag21,1
SP500_historical_data_Close_lag5,1
transactions_summary_daily_Somme_Achats_lag21,1
MACD,1
sp500_PE_Ratio_Value,1
SP500_historical_data_Volume,1
DI_Minus_lag1,1
DI_Minus_lag5,1
sp500_PE_Ratio_YOY_lag1,1
r_sp_bond_lag21,1
DI_Plus_lag5,1
ADX_lag21,1
transactions_summary_daily_Somme_Ventes_lag1,1
transactions_summary_daily_Nombre_Achats,0
CL=F_historical_data_Close_lag5,0
RSI_lag21,0
RSI_lag5,0
sp-500-pe-ratio-price-to-earnings-chart_ value_lag5,0
XLF_historical_data_Close_lag1,0
sp500_PE_Ratio_Value_lag21,0
DGS2_DGS2_lag1,0
sp500_PE_Ratio_Value_lag1,0
r_sp_bond,0
DGS2_DGS2,0
CL=F_historical_data_Close,0
ADX,0
BAA10Y_BAA10Y,0
ATR,0
transactions_summary_daily_Somme_Achats,0
FEDFUNDS_FEDFUNDS,0
^VIX_historical_data_Close_lag5,0
SP500_historical_data_Close,0
transactions_summary_daily_Nombre_Ventes,0
dollar_index_historical_data_Close,0
transactions_summary_daily_Somme_Ventes,0
Stoch_K_lag5,0
sp500_PE_Ratio_YOY_lag5,0
XLE_historical_data_Close_lag5,0
global_economic_policy_uncertainty_GEPUCURRENT_lag1,0
std_21_lag1,0
SP500_historical_data_Volume_lag1,0
SP500_historical_data_Volume_lag5,0
Stoch_D_lag21,0
MACD_Hist_lag5,0
r_sp_bond_lag5,0
Stoch_D_lag5,0
r_sp_bond_lag1,0
DI_Plus_lag1,0
hv_30_lag1,0
hv_30_lag21,0
DI_Plus_lag21,0
XLE_historical_data_Close_lag21,0
BAA10Y_BAA10Y_lag5,0
ATR_lag1,0
transactions_summary_daily_Somme_Achats_lag5,0
transactions_summary_daily_Somme_Achats_lag1,0
MACD_lag1,0
global_economic_policy_uncertainty_GEPUCURRENT_lag5,0
ATR_lag5,0
ATR_lag21,0
BAA10Y_BAA10Y_lag1,0
FEDFUNDS_FEDFUNDS_lag21,0
transactions_summary_daily_Nombre_Achats_lag21,0
transactions_summary_daily_Nombre_Achats_lag5,0
transactions_summary_daily_Somme_Ventes_lag5,0
transactions_summary_daily_Somme_Ventes_lag21,0
transactions_summary_daily_Nombre_Ventes_lag5,0
transactions_summary_daily_Nombre_Ventes_lag21,0
SP500_historical_data_Close_lag1,0
SP500_historical_data_Close_lag21,0
