run_id;timestamp;accuracy;bal_acc;f1_macro;f1_weighted;n_samples;recall_c0;recall_c2;recall_c1;n_trades;return_pct;win_rate;sharpe;max_dd;wf_bal_acc;wf_f1;wf_f1_std;wf_f1_c0;wf_f1_c2;horizon;threshold;thresh_strategy;cw_boost;ecart_min;top_n_feat;tune;walk_forward;lag_features;time_weighting;use_best_feat;lgb_n_est;lgb_lr;lgb_depth;lgb_leaves
xgb_baseline_v1_20260508_223743;;0,2496;0,3676;0,2343;0,1871;561;0,727;0,358;0,017;553;65,7;48,8;0,834;-79,0;;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_224807;;0,2496;0,3676;0,2343;0,1871;561;0,727;0,358;0,017;553;65,7;48,8;0,834;-79,0;;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_135247;2026-05-11 13:55:13;0,3097;0,393;0,2691;0,2536;565;0,93;0,092;0,157;474;-25,3;44,9;-0,407;-66,1;0,368;0,295;0,088;0,162;0,44;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;True;1358,0;0,0983;6,0;39,0
xgb_baseline_v1_20260511_141047;2026-05-11 14:12:07;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;445;-27,4;45,4;-0,495;-60,1;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;False;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_132630;2026-05-11 13:27:05;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;445;-27,4;45,4;-0,495;-60,1;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_134316;2026-05-11 13:45:55;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;445;-27,4;45,4;-0,495;-60,1;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;;1623,0;0,172;3,0;50,0
xgb_baseline_v1_20260511_140017;2026-05-11 14:03:50;0,2867;0,3684;0,2484;0,2291;565;0,883;0,103;0,12;453;-30,3;44,6;-0,599;-64,3;0,374;0,306;0,042;0,16;0,408;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;True;False;True;1996,0;0,067;3,0;49,0
xgb_baseline_v1_20260511_132802;2026-05-11 13:28:38;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;502;-36,4;45,4;-0,688;-61,3;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;False;False;;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260510_194048;;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;502;-36,4;45,4;-0,688;-61,3;0,362;0,286;0,084;0,14;0,448;;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_133900;2026-05-11 13:41:47;0,3044;0,3816;0,2722;0,2578;565;0,875;0,113;0,157;502;-36,4;45,4;-0,688;-61,3;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;False;False;;1623,0;0,172;3,0;50,0
xgb_baseline_v1_20260510_192814;;0,3044;0,3811;0,2623;0,2505;565;0,891;0,067;0,186;493;-41,2;43,8;-0,835;-69,1;0,349;0,252;0,088;0,241;0,307;;;;;;;;;;;;;;;
xgb_baseline_v1_20260510_190553;;0,2991;0,3368;0,2174;0,2069;565;0,881;0,084;0,045;532;-44,6;43,6;-0,935;-71,0;0,333;0,215;0,028;0,167;0,477;;;;;;;;;;;;;;;
xgb_baseline_v1_20260510_190739;;0,3062;0,3856;0,2473;0,2357;565;0,93;0,021;0,207;486;-50,9;43,4;-1,158;-72,1;0,337;0,233;0,044;0,233;0,401;;;;;;;;;;;;;;;
xgb_baseline_v1_20260510_191058;;0,3062;0,3856;0,2473;0,2357;565;0,93;0,021;0,207;486;-50,9;43,4;-1,158;-72,1;0,337;0,233;0,044;0,233;0,401;;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_131211;2026-05-11 13:13:28;0,2407;0,3437;0,1577;0,1207;565;0,977;0,046;0,008;533;-56,9;43,3;-1,525;-69,5;0,375;0,307;0,043;0,161;0,411;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;True;False;;1128,0;0,031;4,0;85,0
xgb_baseline_v1_20260511_131524;2026-05-11 13:16:37;0,2407;0,3437;0,1577;0,1207;565;0,977;0,046;0,008;560;-60,7;43,2;-1,527;-72,1;0,375;0,307;0,043;0,161;0,411;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;True;False;;1128,0;0,031;4,0;85,0
xgb_baseline_v1_20260511_130935;2026-05-11 13:10:34;0,2442;0,3463;0,1591;0,1253;565;0,984;0,026;0,029;533;-62,1;42,0;-1,636;-77,4;0,349;0,265;0,058;0,171;0,397;3,0;[-0.008, 0.008];fixed;0:0.8 1:0.8 2:1.2;0,05;30,0;True;True;True;False;;1126,0;0,0445;3,0;83,0
xgb_baseline_v1_20260508_223838;;0,2086;0,3527;0,1731;0,1185;561;0,899;0,159;0,0;561;-76,4;44,2;-1,727;-86,0;;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_224703;;0,2086;0,3527;0,1731;0,1185;561;0,899;0,159;0,0;561;-76,4;44,2;-1,727;-86,0;;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_140535;2026-05-11 14:06:56;0,2283;0,3298;0,1348;0,0995;565;0,969;0,0;0,021;545;-65,8;41,5;-1,789;-80,1;0,394;0,348;0,092;0,185;0,468;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;True;False;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260509_000056;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_232728;;0,1765;0,3333;0,1;0,0529;561;1,0;0,0;0,0;561;-94,7;37,4;-3,778;-96,6;;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_232855;;0,1765;0,3333;0,1;0,0529;561;1,0;0,0;0,0;561;-94,7;37,4;-3,778;-96,6;;;;;;;;;;;;;;;;;;;;
